"","V1","V2","V3","V4","V5","V6"
"outputs","Ne=10000; m=0.001","PHIst","0.73","0.96","0.96","0.00803624326367203"
"outs","Ne=1e+05; m=1e-04","PHIst","0.86","1","1","0.00236034853949412"
"outs","Ne=1e+06; m=1e-05","PHIst","0.8","0.99","0.99","0.000805738762574194"
